Substance,Class,Sample.ID,total.Wt.Percent,mg,Per1,Per2,Per3,Per4,Per5,Per6,Per7,P3_7_index,P4_7_index,P5_7_index,P1_2_index,P1_index,P2_index,P3_index,P4_index,P5_index,P6_index,P7_index,Primary_PAH
177_VHGO,VHGO,118,3.4,136,6,68,24,1,0,0,0,0.85,0.034,0,2.516,0.204,2.312,0.816,0.034,0,0,0,2
178_VHGO,VHGO,85,4,160,9,48,38,5,0,0,0,1.72,0.2,0,2.28,0.36,1.92,1.52,0.2,0,0,0,2
179_VHGO,VHGO,62,3.2,128,16,62,21,1,0,0,0,0.704,0.032,0,2.496,0.512,1.984,0.672,0.032,0,0,0,2
180_VHGO,VHGO,17,2.9,116,9,65,26,0,0,0,0,0.754,0,0,2.146,0.261,1.885,0.754,0,0,0,0,2
181_VHGO,VHGO,8,1.9,76,17,61,22,0,0,0,0,0.418,0,0,1.482,0.323,1.159,0.418,0,0,0,0,2
182_VHGO,VHGO,78,4.6,184,2,25,65,8,0,0,0,3.358,0.368,0,1.242,0.092,1.15,2.99,0.368,0,0,0,3
183_VHGOa,VHGO,130,9.7,388,5,66,29,0,0,0,0,2.813,0,0,6.887,0.485,6.402,2.813,0,0,0,0,2
184_VHGO,VHGO,25,5.6,224,0,25,58,13,3,0,0,4.144,0.896,0.168,1.4,0,1.4,3.248,0.728,0.168,0,0,3
185_RAE,RAE,160,1.5,60,0,4,4,4,16,30,42,1.44,1.38,1.32,0.06,0,0.06,0.06,0.06,0.24,0.45,0.63,7
186_RAE,RAE,159,3.3,132,0,0,1,6,18,38,36,3.267,3.234,3.036,0,0,0,0.033,0.198,0.594,1.254,1.188,6
187_1__OGO,OGO,35,3.5,140,0,19,74,7,0,0,0,2.835,0.245,0,0.665,0,0.665,2.59,0.245,0,0,0,3
187_2__OGO,OGO,4,3.1,124,4,78,18,0,0,0,0,0.558,0,0,2.542,0.124,2.418,0.558,0,0,0,0,2
188_SRGO,SRGO,46,4.9,196,2,64,34,0,0,0,0,1.666,0,0,3.234,0.098,3.136,1.666,0,0,0,0,2
189_BITUMEN,BIT,100,1.6,64,0,16,3,1,5,31,44,1.344,1.296,1.28,0.256,0,0.256,0.048,0.016,0.08,0.496,0.704,7
190_BITUMENS,BIT,56,1.8,72,5,0,3,8,16,31,37,1.71,1.656,1.512,0.09,0.09,0,0.054,0.144,0.288,0.558,0.666,7
191_BITUMEN,BIT,20,1.2,48,0,0,3,3,15,40,39,1.2,1.164,1.128,0,0,0,0.036,0.036,0.18,0.48,0.468,6
192_BITUMENS,BIT,104,4.4,176,1,0,0,1,11,37,51,4.4,4.4,4.356,0.044,0.044,0,0,0.044,0.484,1.628,2.244,7
193_OXASPH,BIT,80,1.2,48,0,4,7,24,27,25,13,1.152,1.068,0.78,0.048,0,0.048,0.084,0.288,0.324,0.3,0.156,5
195_UDAE,UDAE,22,18,720,0,0,36,39,16,7,1,17.82,11.34,4.32,0,0,0,6.48,7.02,2.88,1.26,0.18,4
196_petrolatum,P.LAT,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
197_HFO,HFO,87,3.5,140,0,6,48,25,13,6,2,3.29,1.61,0.735,0.21,0,0.21,1.68,0.875,0.455,0.21,0.07,3
202_Paraffinwax,WAX,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
